,id,title,name1,latitude,longitude,address,city,state,zip,county,grade_updated,dry_grade,wet_grade,active,annual_summer_dry,annual_year_wet,annual_winter_dry,annual_year,grade_created,alerts
0,41,Dockweiler Beach- opposite Hyperion Treatment Plant,Dockweiler State Beach,33.918933000000000,-118.431592000000000,,Playa Del Rey,CA,90293,Los Angeles,2008-04-29,A,ns,,,,,,,False
1,44,Manhattan Beach Pier drain,Manhattan Beach,33.883814000000000,-118.413234000000000,,Manhattan Beach,CA,90266,Los Angeles -- Redondo,2008-04-29,A+,ns,,,,,,,False
2,37,Dockweiler State Beach at Ballona Creek mouth,Dockweiler State Beach,33.961154700000000,-118.456217900000000,,Playa Del Rey,CA,90293,Los Angeles,2008-04-29,A,ns,,,,,,,False
3,38,Dockweiler State Beach at Culver Blvd. drain,Dockweiler State Beach,33.956461000000000,-118.451844000000000,,Playa Del Rey,CA,90293,Los Angeles -- LA City,2008-04-29,A+,ns,,,,,,,False
4,42,Dockweiler State Beach at Grand Ave. drain,Dockweiler State Beach,33.915612000000000,-118.429727000000000,,Manhattan Beach,CA,90266,Los Angeles,2008-04-29,A+,ns,,,,,,,False
5,60,Cabrillo Beach - harborside at restrooms,Cabrillo Beach,33.711160000000000,-118.282941000000000,,San Pedro,CA,90731,Los Angeles -- LA City,2008-04-29,F,ns,,,,,,,False
6,188,Long Beach City Beach- projection of 54th Place,Long Beach,33.751566666000000,-118.133483333000000,,Long Beach,CA,90803,Los Angeles -- Long Beach,2008-04-24,A,ns,,,,,,,False
7,59,Cabrillo Beach- oceanside,Cabrillo Beach,33.708894000000000,-118.284008000000000,,San Pedro,CA,90731,Los Angeles -- LA City,2008-04-29,A+,ns,,,,,,,False
8,507,Manhattan Beach at 28th St. drain,Manhattan Beach,33.894457000000000,-118.418925000000000,,Manhattan Beach,CA,90266,Los Angeles,2008-04-29,A+,ns,,,,,,,False
9,48,Redondo Municipal Pier - south side,Redondo State Beach,33.838682000000000,-118.391252000000000,,Redondo Beach,CA,90277,Los Angeles -- LA City,2008-04-29,A,ns,,,,,,,False
10,58,"Wilder Annex, San Pedro",Wilder Annex,33.707601000000000,-118.295355000000000,,San Pedro,CA,90731,Los Angeles -- LA Sanitation,2008-04-29,A+,ns,,,,,,,False
11,133,Alamitos Bay - 56th Place - on bayside,Alamitos Bay,33.751183333000000,-118.125783333000000,,Long Beach,CA,90803,Los Angeles -- Long Beach,2008-04-24,A+,ns,,,,,,,False
12,196,Long Beach City Beach- projection of 36th Place,Long Beach,33.758683333000000,-118.151283333000000,,Long Beach,CA,90803,Los Angeles -- Long Beach,2008-04-24,A,ns,,,,,,,False
13,131,Long Beach City Beach- projection of 62nd Place,Long Beach,33.747633333000000,-118.123433333000000,,Long Beach,CA,90803,Los Angeles -- Long Beach,2008-04-24,A,ns,,,,,,,False
14,200,Long Beach City Beach- projection of Prospect Ave.,Long Beach,33.756200000000000,-118.143966666000000,,Long Beach,CA,90803,Los Angeles -- Long Beach,2008-04-24,A,ns,,,,,,,False
15,140,Seal Beach- projection of 14th Street,Seal Beach,33.736432000000000,-118.102301000000000,,Seal Beach,CA,90740,Orange,2008-04-24,A+,ns,,,,,,,False
16,157,Balboa Beach - The Wedge,Balboa Beach,33.593690000000000,-117.881662000000000,,Newport Beach,CA,92661,Orange,2008-04-24,A+,ns,,,,,,,False
17,509,"Newport Beach - Newport Pier, upcoast side",Newport Beach,33.609590000000000,-117.930940000000000,,Newport Beach,CA,92663,Orange,2008-04-24,ns,ns,,,,,,,False
18,330,"Mission Bay, Mariners Basin (proj. of Balboa Ct.)",Mission Beach,32.762450000000000,-117.249130000000000,,San Diego,CA,92109,San Diego,2008-04-25,A+,ns,,,,,,,False
19,336,"Mission Bay, Sail Bay (proj. of Whitting Ct.)","Mission Bay, Sail Bay",32.788300000000000,-117.251700000000000,,San Diego,CA,92109,San Diego,2008-04-25,A+,ns,,,,,,,False
20,341,"Mission Bay, Campland (west of Rose Creek)",Mission Bay,32.795000000000000,-117.221700000000000,,San Diego,CA,92109,San Diego,2008-04-25,A+,ns,,,,,,,False
21,339,"Mission Bay, Crown Point Shores",Mission Bay,32.783300000000000,-117.231700000000000,,San Diego,CA,92109,San Diego,2008-04-25,ns,ns,,,,,,,False
22,172,"Newport Bay, Via Genoa Beach- Lido Isle",Newport Bay,33.614950000000000,-117.919570000000000,,Newport Beach,CA,92663,Orange,2008-04-24,A+,ns,,,,,,,False
23,612,"Mission Bay, Vacation Isle North Cove Beach",Mission Bay,32.776039000000000,-117.237694000000000,,San Diego,CA,92109,San Diego,2008-04-25,A+,ns,,,,,,,False
24,185,"Newport Bay, Bayshore Beach",Newport Bay,33.612590000000000,-117.907580000000000,,Newport Beach,CA,92663,Orange,2008-04-24,A+,ns,,,,,,,False
25,169,"Newport Bay, 38th Street Beach",Newport Bay,33.618340000000000,-117.934260000000000,,Newport Beach,CA,92663,Orange,2008-04-24,A+,ns,,,,,,,False
26,182,"Newport Bay, Onyx Avenue Beach- Balboa Island",Newport Bay,33.608710000000000,-117.890530000000000,,Newport Beach,CA,92662,Orange,2008-04-24,A+,ns,,,,,,,False
27,235,Dana Point - Capistrano County Beach,Capistrano County Beach,33.454500000000000,-117.668270000000000,,Capistrano Beach,CA,92624,Orange,2008-04-24,A+,ns,,,,,,,False
28,363,"San Diego Bay, Spanish Landing Park beach",San Diego Bay,32.728380000000000,-117.209960000000000,,San Diego,CA,92106,San Diego,2008-04-25,A+,ns,,,,,,,False
29,359,"Point Loma, Point Loma Treatment Plant",Point Loma,32.680862000000000,-117.248535000000000,,San Diego,CA,92106,San Diego,2008-04-25,A+,ns,,,,,,,False
30,178,"Newport Bay, Garnet Avenue Beach- Balboa Island",Newport Bay,33.606390000000000,-117.899390000000000,,Newport Beach,CA,92662,Orange,2008-04-24,A+,ns,,,,,,,False
31,426,"San Diego Bay, Shelter Island (proj. of Bessemer St.)",San Diego Bay,32.718200000000000,-117.233000000000000,,San Diego,CA,92106,San Diego,2008-04-25,ns,ns,,,,,,,False
32,367,"San Diego Bay, Tidelands Park (proj. of Mullinix Dr.)",San Diego Bay,32.690410000000000,-117.164350000000000,,Coronado,CA,92118,San Diego,2008-04-25,B,ns,,,,,,,False
33,208,Emerald Bay- mid-cove,Emerald Bay Beach,33.550872000000000,-117.808389000000000,,Laguna Niguel,CA,92651,Orange,2008-04-24,A+,ns,,,,,,,False
34,381,"Border Field State Park, Border Fence (north side)",Border Field State Park,32.535300000000000,-117.125000000000000,,Imperial Beach,CA,91932,San Diego,2008-04-25,A+,ns,,,,,,,False
35,377,Imperial Beach. south end of Seacoast Dr.,Imperial Beach,32.566363000000000,-117.132747000000000,,Imperial Beach,CA,91932,San Diego,2008-04-25,A+,ns,,,,,,,False
36,403,"San Onofre State Beach, Trail #6",San Onofre State Beach,33.378886000000000,-117.572642000000000,,Newport Beach,CA,92659,San Diego,2008-04-25,ns,ns,,,,,,,False
37,246,Dana Point Harbor Baby Beach - East End,Dana Point Harbor,33.462434000000000,-117.704098000000000,,Monarch Bay,CA,92629,Orange,2008-04-24,A+,ns,,,,,,,False
38,209,Laguna Beach- Crescent Bay Beach,Crescent Bay Beach,33.546404000000000,-117.801520000000000,,Laguna Niguel,CA,92651,Orange,2008-04-24,A+,ns,,,,,,,False
39,296,Crystal Cove,Crystal Cove,33.573805000000000,-117.840761000000000,,Newport Beach,CA,92657,Orange,2004-01-17,A+,A+,,,,,,,False
40,578,Mad River Mouth (north),Mad River Mouth,40.953353000000000,-124.129590000000000,,Mc Kinleyville,CA,95521,Humboldt,2008-05-13,A+,A,,,,,,,False
41,589,Pudding Creek Ocean Outlet,Pudding Creek,39.459052000000000,-123.809840000000000,,Fort Bragg,CA,95437,Mendocino,2008-05-13,A+,A+,,,,,,,False
42,576,Big River near PCH,Big River,39.302299000000000,-123.793009000000000,,Mendocino,CA,95460,Mendocino,2008-05-13,A+,A+,,,,,,,False
43,482,Stillwater Cove Regional Park Beach,Stillwater Cove Regional Park Beach,38.546902933000000,-123.297521637000000,,Jenner,CA,95450,Sonoma,2008-05-12,A+,ns,,,,,,,False
44,275,"Oceanside, Buccaneer Beach (at Loma Alta Creek)",Oceanside,33.17781407,-117.3708564,,Oceanside,CA,92054,San Diego -- Oceanside,2008-04-25,A+,ns,,,,,,,False
45,296,Crystal Cove,Crystal Cove,33.573805000000000,-117.840761000000000,,Newport Beach,CA,92657,Orange,2004-02-07,A+,A+,,,,,,,False
46,219,South Aliso County Beach,Aliso Creek Beach,33.508253000000000,-117.751837000000000,,Laguna Niguel,CA,92651,Orange,2008-04-24,A+,ns,,,,,,,False
47,276,"Oceanside, projection of Cassidy St.",Oceanside,33.172717000000000,-117.366302000000000,,Oceanside,CA,92054,San Diego -- Oceanside,2008-04-25,A+,ns,,,,,,,False
48,483,Goat Rock State Park Beach,Goat Rock State Park Beach,38.440741937000000,-123.125474992000000,,Jenner,CA,95450,Sonoma,2008-05-12,A+,ns,,,,,,,False
49,224,Three Arch Bay- mid-cove,Three Arch Bay,33.488958000000000,-117.735990000000000,,Capistrano Beach,CA,92624,Orange,2008-04-24,A+,ns,,,,,,,False
50,222,South Laguna- Laguna Lido Apt.,Laguna Lido Apt.,33.500510000000000,-117.745040000000000,,Laguna Niguel,CA,92677,Orange,2008-04-24,A+,ns,,,,,,,False
51,272,"Oceanside, projection of Tyson St.",Oceanside,33.190213000000000,-117.381859000000000,,Oceanside,CA,92054,San Diego -- Oceanside,2008-04-25,A+,ns,,,,,,,False
52,220,South Laguna- Camel Point at Camel Point Dr.,Camel Point,33.507000000000000,-117.751000000000000,,Laguna Niguel,CA,92651,Orange,2008-04-24,A+,ns,,,,,,,False
53,290,"Encinitas, Moonlight Beach (Cottonwood Creek outlet)",Encinitas,33.048049000000000,-117.298693000000000,,Encinitas,CA,92024,San Diego,2008-04-25,A+,ns,,,,,,,False
54,498,"Baker Beach West, Ocean #16",Baker Beach,37.789783000000000,-122.487303000000000,,San Francisco,CA,94121,San Francisco,2008-05-14,A,ns,,,,,,,False
55,291,"Encinitas, Swami's Beach (Seacliff Park)",Encinitas,33.034314000000000,-117.292326000000000,,Encinitas,CA,92024,San Diego,2008-04-25,A+,ns,,,,,,,False
56,306,"Del Mar, proj. of 17th Street",Del Mar,32.962390000000000,-117.268730000000000,,Solana Beach,CA,92075,San Diego,2008-04-25,ns,ns,,,,,,,False
